timeStep,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,robot_3_x,robot_3_y,robot_4_x,robot_4_y,robot_5_x,robot_5_y,robot_6_x,robot_6_y,robot_7_x,robot_7_y,robot_8_x,robot_8_y,robot_9_x,robot_9_y,robot_10_x,robot_10_y,robot_11_x,robot_11_y,robot_12_x,robot_12_y,robot_13_x,robot_13_y,robot_14_x,robot_14_y,robot_15_x,robot_15_y,robot_16_x,robot_16_y,robot_17_x,robot_17_y,robot_18_x,robot_18_y,robot_19_x,robot_19_y,robot_20_x,robot_20_y,robot_21_x,robot_21_y,robot_22_x,robot_22_y,robot_23_x,robot_23_y,robot_24_x,robot_24_y
10,0.459086,0.225706,0.543373,0.546256,0.471984,0.818559,0.258947,0.133842,0.784122,0.357708,0.841421,0.725773,0.800275,0.630029,0.266075,0.87879,0.244085,0.842628,0.704009,0.73279,0.562141,0.680015,0.460032,0.132085,0.760573,0.551063,0.517967,0.343406,0.164032,0.756543,0.680269,0.352641,0.471196,0.41463,0.365755,0.865896,0.732594,0.268049,0.498676,0.283477,0.843855,0.220074,0.317156,0.832131,0.200573,0.303059,0.597749,0.728693,0.283292,0.185922
20,0.451659,0.232116,0.550913,0.546592,0.463683,0.812775,0.249154,0.131986,0.784375,0.367283,0.832355,0.726713,0.806869,0.622135,0.26189,0.886195,0.236208,0.845715,0.697752,0.724958,0.570214,0.68474,0.470553,0.132336,0.760901,0.541395,0.522583,0.333403,0.155255,0.757384,0.675267,0.360397,0.468719,0.422418,0.361914,0.856261,0.730184,0.257789,0.489334,0.279685,0.842223,0.209863,0.309311,0.824864,0.201419,0.294763,0.604255,0.730733,0.274792,0.180626
30,0.442056,0.231454,0.555922,0.552239,0.453605,0.813675,0.24636,0.129673,0.78979,0.375469,0.825382,0.72033,0.806741,0.61185,0.259785,0.889321,0.23299,0.846085,0.687864,0.723323,0.578173,0.689885,0.480606,0.135725,0.768153,0.534993,0.522735,0.329376,0.148117,0.752208,0.666213,0.36219,0.464183,0.42899,0.364218,0.846148,0.721516,0.252272,0.479703,0.282275,0.833469,0.204331,0.298619,0.825032,0.196394,0.288045,0.607605,0.734556,0.270834,0.171425
40,0.441569,0.231217,0.555355,0.559766,0.446459,0.820836,0.24636,0.129673,0.795121,0.383699,0.819481,0.712742,0.80046,0.603464,0.255753,0.889585,0.232989,0.845222,0.679347,0.728708,0.586706,0.6941,0.4905,0.13316,0.777786,0.535868,0.522735,0.329376,0.144776,0.74373,0.659427,0.358078,0.457492,0.430307,0.367161,0.842346,0.711325,0.254893,0.475407,0.291266,0.822909,0.204927,0.291006,0.832541,0.189569,0.282645,0.607605,0.734556,0.270032,0.161321
50,0.439465,0.229928,0.550616,0.565999,0.445535,0.823319,0.244678,0.127791,0.794251,0.393162,0.814697,0.704419,0.796301,0.593844,0.259162,0.881891,0.232989,0.845222,0.674569,0.737577,0.595264,0.697807,0.495356,0.124167,0.784912,0.542738,0.524898,0.321593,0.141321,0.735211,0.659427,0.358078,0.457492,0.430307,0.370381,0.838938,0.700899,0.254889,0.479453,0.300373,0.812569,0.207663,0.287608,0.839352,0.182521,0.277515,0.610385,0.738239,0.262443,0.155149
60,0.430049,0.227614,0.545202,0.571721,0.445535,0.823319,0.236083,0.122387,0.789186,0.401678,0.810564,0.69577,0.796127,0.592082,0.261549,0.880466,0.232989,0.845222,0.676839,0.74734,0.601237,0.696314,0.492075,0.114487,0.786471,0.543584,0.53458,0.316956,0.139036,0.726472,0.659427,0.358078,0.457492,0.430307,0.371848,0.82892,0.692761,0.248371,0.487587,0.306722,0.802894,0.21251,0.279857,0.842706,0.175383,0.272587,0.616804,0.740089,0.252974,0.157829
70,0.421518,0.232206,0.538112,0.574309,0.445535,0.823319,0.229852,0.114609,0.782986,0.409453,0.808339,0.68639,0.797573,0.586033,0.266629,0.879689,0.234289,0.85023,0.685057,0.753077,0.601237,0.696314,0.482765,0.109844,0.79386,0.545065,0.543616,0.322012,0.13345,0.719726,0.658552,0.356964,0.457492,0.430307,0.364431,0.822028,0.69026,0.238144,0.491049,0.309902,0.793436,0.217567,0.270993,0.839282,0.167676,0.268553,0.622088,0.736002,0.244047,0.162471
80,0.420567,0.233408,0.530342,0.573141,0.445535,0.823319,0.226857,0.104893,0.776412,0.416894,0.807196,0.676827,0.791365,0.577832,0.2749,0.883756,0.232642,0.858988,0.685614,0.753233,0.600376,0.695466,0.472406,0.107179,0.803093,0.542061,0.543624,0.322023,0.125166,0.715741,0.652658,0.349305,0.457055,0.430226,0.354547,0.824223,0.688978,0.227416,0.491049,0.309902,0.785206,0.224422,0.266719,0.829515,0.160031,0.264361,0.622956,0.730255,0.237416,0.16241
90,0.41976,0.234623,0.522725,0.57092,0.445535,0.823319,0.21841,0.0996772,0.769263,0.423806,0.80742,0.667189,0.781315,0.575643,0.277393,0.887317,0.229208,0.862754,0.685614,0.753233,0.599642,0.694707,0.461957,0.104894,0.806509,0.537774,0.546357,0.327444,0.116648,0.712283,0.646896,0.341547,0.449057,0.427927,0.353337,0.825361,0.686522,0.216896,0.491049,0.309902,0.782536,0.228483,0.269505,0.818975,0.152544,0.259892,0.622585,0.728785,0.237416,0.16241
100,0.413941,0.242869,0.515145,0.568569,0.445535,0.823319,0.209286,0.0956387,0.761436,0.429939,0.809246,0.657723,0.776734,0.577038,0.277393,0.887317,0.229208,0.862754,0.685614,0.753233,0.599642,0.694707,0.451431,0.102994,0.806509,0.537774,0.554186,0.335195,0.10795,0.709429,0.641268,0.33369,0.44191,0.424015,0.353337,0.825361,0.684279,0.210135,0.491049,0.309902,0.782536,0.228483,0.278286,0.812928,0.145225,0.255152,0.622585,0.728785,0.237416,0.16241
