timeStep,robot_0_x,robot_0_y,robot_1_x,robot_1_y,robot_2_x,robot_2_y,robot_3_x,robot_3_y,robot_4_x,robot_4_y,robot_5_x,robot_5_y,robot_6_x,robot_6_y,robot_7_x,robot_7_y,robot_8_x,robot_8_y,robot_9_x,robot_9_y,robot_10_x,robot_10_y,robot_11_x,robot_11_y,robot_12_x,robot_12_y,robot_13_x,robot_13_y,robot_14_x,robot_14_y,robot_15_x,robot_15_y,robot_16_x,robot_16_y,robot_17_x,robot_17_y,robot_18_x,robot_18_y,robot_19_x,robot_19_y,robot_20_x,robot_20_y,robot_21_x,robot_21_y,robot_22_x,robot_22_y,robot_23_x,robot_23_y,robot_24_x,robot_24_y
10,0.358971,0.72839,0.135344,0.814344,0.394657,0.175298,0.340296,0.490648,0.254654,0.285299,0.452753,0.17352,0.314505,0.696841,0.518523,0.583994,0.5567,0.779423,0.798836,0.451106,0.756608,0.489607,0.39073,0.659185,0.791311,0.848796,0.185851,0.519566,0.177017,0.795347,0.533613,0.442901,0.2176,0.303313,0.338662,0.645934,0.667129,0.239698,0.719843,0.241935,0.778507,0.792102,0.200705,0.644457,0.164201,0.357722,0.570304,0.126058,0.479392,0.532007
20,0.36819,0.725204,0.124523,0.81271,0.4054,0.178732,0.341691,0.503941,0.248848,0.28005,0.454875,0.164135,0.321891,0.705183,0.526932,0.583589,0.556847,0.772218,0.789592,0.448621,0.765598,0.487504,0.400159,0.656075,0.798143,0.856288,0.176263,0.52009,0.177101,0.803424,0.536812,0.451766,0.22709,0.306331,0.342281,0.636823,0.668794,0.250356,0.730456,0.242214,0.785852,0.785242,0.203153,0.651643,0.171765,0.351502,0.573479,0.114538,0.48138,0.539019
30,0.370802,0.721465,0.113931,0.810243,0.411655,0.188181,0.344457,0.517101,0.246971,0.271778,0.462282,0.157557,0.325299,0.715955,0.534716,0.587499,0.560046,0.765933,0.784677,0.440345,0.772218,0.48094,0.409566,0.659251,0.808204,0.857543,0.169609,0.513167,0.183907,0.807981,0.532065,0.459907,0.236424,0.303124,0.351472,0.633415,0.67703,0.257322,0.738376,0.235143,0.785879,0.77519,0.209996,0.654929,0.180763,0.348085,0.583729,0.10881,0.479568,0.546154
40,0.370802,0.721465,0.105686,0.817172,0.418525,0.197013,0.347531,0.530276,0.250003,0.264429,0.465348,0.148391,0.332191,0.724784,0.542706,0.590671,0.566511,0.763002,0.779921,0.431989,0.772735,0.471737,0.416691,0.666374,0.816667,0.851959,0.167712,0.503308,0.192214,0.807408,0.522774,0.461488,0.237666,0.293227,0.360687,0.637367,0.687965,0.257647,0.739298,0.224566,0.77857,0.768291,0.21774,0.653419,0.189683,0.351704,0.594824,0.112652,0.473608,0.550404
50,0.372463,0.718708,0.103765,0.82794,0.429691,0.200099,0.351018,0.54335,0.256287,0.259607,0.46146,0.139427,0.340627,0.731524,0.545616,0.598571,0.572637,0.759613,0.770053,0.427734,0.767239,0.465719,0.418588,0.67612,0.821358,0.842734,0.165412,0.493508,0.197023,0.800917,0.513719,0.457636,0.230165,0.28439,0.370513,0.638304,0.697483,0.252572,0.736215,0.214189,0.768418,0.767015,0.225461,0.651411,0.195021,0.35996,0.599862,0.123483,0.466334,0.551176
60,0.37376,0.715848,0.110404,0.836252,0.440526,0.197572,0.354935,0.556301,0.26419,0.260189,0.456306,0.130965,0.346639,0.736104,0.542427,0.606583,0.574212,0.752698,0.76042,0.426758,0.757977,0.464349,0.414252,0.685052,0.821901,0.832455,0.164577,0.483564,0.194249,0.793331,0.505618,0.451927,0.219091,0.281627,0.379966,0.634774,0.701357,0.242504,0.740627,0.204579,0.760365,0.77303,0.233163,0.649331,0.194683,0.369727,0.602343,0.135507,0.459741,0.547731
70,0.373584,0.715525,0.12129,0.835832,0.445396,0.187569,0.359278,0.569116,0.271427,0.263839,0.447506,0.126968,0.347573,0.733071,0.534587,0.609649,0.57536,0.745497,0.754111,0.41956,0.749563,0.460657,0.414896,0.689831,0.821388,0.822158,0.166477,0.473691,0.186388,0.791473,0.498055,0.445522,0.209497,0.287809,0.389254,0.637908,0.697694,0.232358,0.750649,0.201205,0.759237,0.783018,0.240845,0.647177,0.189339,0.377733,0.604129,0.147654,0.456556,0.541193
80,0.373171,0.715648,0.128178,0.827726,0.440702,0.177482,0.366342,0.580193,0.27939,0.265534,0.438345,0.130051,0.345274,0.722484,0.52698,0.60569,0.578292,0.738811,0.753571,0.409786,0.746438,0.452018,0.411184,0.689205,0.82235,0.811958,0.169356,0.464026,0.179514,0.796118,0.490988,0.438653,0.202213,0.296901,0.393376,0.645805,0.688379,0.226622,0.759974,0.206191,0.765745,0.790677,0.24702,0.642751,0.179933,0.380388,0.605863,0.159788,0.458573,0.534205
90,0.370877,0.719068,0.129111,0.816659,0.43208,0.17858,0.37825,0.58612,0.285975,0.269853,0.431798,0.129712,0.336849,0.715103,0.518913,0.602613,0.580888,0.731915,0.758973,0.401883,0.750073,0.443377,0.407037,0.686811,0.821108,0.802107,0.172945,0.454602,0.179014,0.804181,0.482577,0.433544,0.192411,0.303253,0.392792,0.64766,0.681449,0.218488,0.763711,0.216334,0.77176,0.793784,0.249722,0.635417,0.171447,0.385166,0.607206,0.171992,0.464756,0.530207
100,0.369627,0.723153,0.134132,0.806747,0.427343,0.179983,0.391113,0.584377,0.287901,0.277489,0.429998,0.129085,0.32592,0.714206,0.510192,0.602335,0.582737,0.724782,0.768366,0.40004,0.757822,0.438099,0.400476,0.682653,0.821329,0.795938,0.177225,0.445471,0.184913,0.810041,0.474357,0.428072,0.187251,0.313654,0.392792,0.64766,0.680939,0.207479,0.760414,0.226398,0.774158,0.791006,0.254717,0.629306,0.162274,0.388083,0.607846,0.184253,0.471711,0.527301
