,config_0,config_1,config_2,config_3,config_4,config_5,config_6,config_7,config_8,config_9
0,0.56,0.52,0.4,0.28,0.24,0.24,0.44,0.24,0.28,0.44
1,0.2,0.16,0.32,0.24,0.16,0.4,0.32,0.6,0.24,0.2
2,0.24,0.32,0.32,0.2,0.2,0.24,0.36,0.56,0.16,0.32
3,0.32,0.28,0.36,0.36,0.12,0.52,0.56,0.56,0.16,0.2
4,0.32,0.16,0.6,0.32,0.24,0.28,0.28,0.36,0.28,0.24
5,0.56,0.24,0.16,0.36,0.32,0.2,0.48,0.4,0.24,0.28
6,0.2,0.44,0.16,0.28,0.2,0.28,0.24,0.24,0.2,0.6
7,0.24,0.32,0.2,0.28,0.24,0.4,0.44,0.24,0.2,0.44
8,0.24,0.4,0.36,0.24,0.16,0.32,0.28,0.2,0.36,0.32
9,0.32,0.36,0.2,0.28,0.16,0.4,0.36,0.4,0.16,0.2
10,0.24,0.32,0.44,0.32,0.2,0.24,0.64,0.28,0.2,0.16
11,0.28,0.24,0.32,0.4,0.12,0.32,0.28,0.52,0.36,0.24
12,0.24,0.6,0.56,0.48,0.12,0.4,0.16,0.36,0.2,0.28
13,0.24,0.44,0.32,0.36,0.16,0.48,0.44,0.2,0.32,0.56
14,0.68,0.4,0.32,0.4,0.32,0.28,0.4,0.2,0.28,0.28
15,0.24,0.64,0.4,0.36,0.16,0.48,0.4,0.32,0.24,0.48
16,0.32,0.64,0.44,0.28,0.2,0.56,0.24,0.52,0.36,0.2
17,0.16,0.28,0.36,0.48,0.16,0.56,0.24,0.68,0.28,0.36
18,0.16,0.4,0.36,0.32,0.16,0.4,0.28,0.32,0.2,0.24
19,0.28,0.4,0.32,0.52,0.2,0.24,0.36,0.32,0.52,0.32
20,0.6,0.24,0.36,0.32,0.16,0.28,0.24,0.44,0.32,0.44
21,0.56,0.36,0.44,0.12,0.16,0.36,0.48,0.24,0.28,0.32
22,0.16,0.36,0.24,0.32,0.16,0.36,0.48,0.32,0.2,0.4
23,0.24,0.56,0.6,0.44,0.16,0.24,0.52,0.2,0.44,0.4
24,0.24,0.2,0.32,0.2,0.16,0.32,0.52,0.4,0.2,0.44
25,0.28,0.44,0.48,0.32,0.16,0.56,0.36,0.4,0.2,0.52
26,0.16,0.48,0.24,0.24,0.16,0.36,0.36,0.36,0.2,0.4
27,0.36,0.28,0.24,0.52,0.12,0.2,0.28,0.24,0.24,0.28
28,0.16,0.36,0.2,0.32,0.2,0.24,0.28,0.28,0.24,0.56
29,0.2,0.28,0.36,0.6,0.2,0.24,0.2,0.48,0.16,0.36
