,irace-58343,irace-70425,irace-72679,irace-78807,irace-81814,irace-3731908,irace-3747353,irace-3774327,irace-3805391,irace-3821771
0,0.4,0.48,0.32,0.28,0.68,0.32,0.2,0.24,0.2,0.4
1,0.2,0.28,0.2,0.4,0.28,0.2,0.32,0.44,0.68,0.68
2,0.4,0.24,0.36,0.8,0.6,0.32,0.4,0.24,0.44,0.4
3,0.32,0.56,0.36,0.32,0.32,0.44,0.28,0.44,0.52,0.28
4,0.52,0.32,0.76,0.4,0.36,0.16,0.24,0.56,0.52,0.4
5,0.28,0.24,0.32,0.2,0.2,0.12,0.24,0.24,0.36,0.48
6,0.56,0.24,0.36,0.32,0.28,0.44,0.44,0.32,0.76,0.24
7,0.4,0.32,0.4,0.48,0.56,0.4,0.28,0.24,0.2,0.4
8,0.28,0.32,0.72,0.28,0.56,0.24,0.44,0.4,0.24,0.4
9,0.4,0.44,0.32,0.24,0.44,0.32,0.6,0.4,0.4,0.64
10,0.48,0.4,0.32,0.36,0.24,0.4,0.36,0.4,0.24,0.48
11,0.24,0.44,0.28,0.32,0.28,0.6,0.2,0.2,0.24,0.32
12,0.28,0.6,0.6,0.4,0.4,0.32,0.32,0.52,0.32,0.32
13,0.44,0.56,0.16,0.44,0.32,0.52,0.36,0.44,0.32,0.44
14,0.32,0.28,0.16,0.36,0.32,0.32,0.36,0.2,0.48,0.68
15,0.28,0.36,0.44,0.4,0.4,0.28,0.44,0.32,0.28,0.32
16,0.24,0.48,0.6,0.6,0.76,0.28,0.2,0.48,0.28,0.52
17,0.28,0.36,0.36,0.4,0.32,0.2,0.28,0.32,0.24,0.32
18,0.24,0.16,0.32,0.28,0.44,0.48,0.56,0.52,0.32,0.2
19,0.4,0.16,0.4,0.28,0.48,0.28,0.16,0.6,0.44,0.2
20,0.44,0.28,0.32,0.76,0.24,0.2,0.24,0.52,0.32,0.44
21,0.32,0.24,0.36,0.44,0.16,0.28,0.4,0.4,0.64,0.2
22,0.48,0.52,0.28,0.4,0.24,0.28,0.2,0.28,0.24,0.36
23,0.4,0.28,0.2,0.28,0.28,0.64,0.16,0.36,0.44,0.32
24,0.28,0.32,0.52,0.24,0.24,0.52,0.24,0.28,0.4,0.44
25,0.28,0.24,0.36,0.32,0.16,0.4,0.28,0.36,0.36,0.28
26,0.24,0.44,0.32,0.56,0.24,0.32,0.32,0.44,0.24,0.24
27,0.2,0.24,0.56,0.36,0.24,0.32,0.16,0.2,0.24,0.24
28,0.24,0.48,0.48,0.36,0.48,0.4,0.28,0.36,0.32,0.24
29,0.68,0.32,0.48,0.44,0.24,0.2,0.36,0.28,0.4,0.36
