,config_0,config_1,config_2,config_3,config_4,config_5,config_6,config_7,config_8,config_9
0,0.12,0.16,0.08,0.2,0.24,0.12,0.12,0.2,0.12,0.64
1,0.16,0.2,0.24,0.08,0.32,0.12,0.12,0.08,0.2,0.8
2,0.12,0.08,0.16,0.12,0.52,0.12,0.2,0.2,0.24,0.56
3,0.12,0.2,0.16,0.16,0.2,0.12,0.24,0.12,0.16,0.52
4,0.32,0.12,0.2,0.16,0.44,0.08,0.12,0.16,0.12,0.48
5,0.2,0.16,0.12,0.2,0.4,0.12,0.2,0.16,0.12,0.64
6,0.16,0.12,0.2,0.2,0.56,0.12,0.12,0.16,0.12,0.44
7,0.2,0.08,0.16,0.12,0.6,0.12,0.12,0.16,0.12,0.76
8,0.12,0.12,0.12,0.08,0.36,0.16,0.12,0.16,0.16,0.72
9,0.16,0.16,0.12,0.12,0.48,0.24,0.16,0.24,0.16,0.64
10,0.16,0.12,0.12,0.16,0.28,0.12,0.16,0.16,0.12,0.68
11,0.12,0.12,0.12,0.2,0.44,0.28,0.16,0.16,0.24,0.68
12,0.16,0.24,0.16,0.16,0.64,0.2,0.2,0.2,0.16,0.88
13,0.16,0.16,0.12,0.12,0.2,0.2,0.16,0.12,0.16,0.64
14,0.12,0.16,0.16,0.12,0.24,0.08,0.12,0.2,0.08,0.6
15,0.2,0.08,0.12,0.12,0.28,0.16,0.2,0.24,0.12,0.16
16,0.16,0.12,0.12,0.28,0.36,0.24,0.16,0.08,0.12,0.6
17,0.24,0.16,0.12,0.08,0.6,0.16,0.12,0.12,0.16,0.8
18,0.12,0.16,0.12,0.12,0.36,0.2,0.16,0.16,0.28,0.72
19,0.12,0.12,0.12,0.12,0.24,0.12,0.12,0.2,0.12,0.8
20,0.16,0.16,0.16,0.16,0.32,0.16,0.16,0.2,0.16,0.6
21,0.12,0.12,0.16,0.16,0.48,0.2,0.12,0.12,0.12,0.72
22,0.16,0.12,0.12,0.24,0.4,0.16,0.12,0.16,0.16,0.48
23,0.12,0.12,0.16,0.16,0.4,0.16,0.12,0.16,0.12,0.8
24,0.2,0.2,0.16,0.12,0.2,0.16,0.12,0.16,0.12,0.32
25,0.16,0.16,0.36,0.24,0.32,0.16,0.12,0.12,0.16,0.36
26,0.12,0.2,0.12,0.12,0.48,0.12,0.16,0.2,0.2,0.56
27,0.16,0.24,0.08,0.24,0.2,0.12,0.12,0.2,0.12,0.44
28,0.12,0.12,0.08,0.12,0.32,0.12,0.12,0.12,0.12,0.68
29,0.16,0.2,0.12,0.12,0.2,0.16,0.12,0.12,0.08,0.64
