cluster_number,cluster_metric
11,0.2
10,0.2
11,0.16
11,0.16
9,0.2
9,0.2
9,0.2
10,0.2
11,0.16
9,0.18
8,0.3
9,0.18
10,0.18
10,0.18
11,0.16
11,0.16
11,0.16
11,0.16
13,0.16
13,0.16
13,0.16
12,0.18
12,0.18
11,0.18
10,0.18
11,0.16
11,0.16
10,0.3
10,0.3
10,0.3
10,0.3
11,0.24
9,0.28
9,0.28
9,0.28
9,0.28
9,0.26
8,0.28
9,0.24
8,0.28
9,0.24
9,0.24
8,0.24
8,0.24
8,0.2
8,0.2
8,0.2
9,0.2
10,0.2
10,0.2
10,0.2
10,0.2
11,0.2
11,0.2
11,0.2
11,0.2
9,0.28
9,0.28
9,0.28
9,0.28
8,0.28
8,0.28
8,0.28
9,0.22
9,0.22
9,0.22
10,0.22
10,0.22
10,0.22
10,0.22
9,0.22
9,0.22
9,0.22
9,0.22
12,0.22
12,0.22
12,0.2
12,0.2
10,0.28
10,0.28
10,0.28
10,0.28
8,0.34
8,0.34
8,0.34
7,0.34
7,0.34
7,0.38
7,0.34
6,0.34
7,0.34
7,0.34
7,0.34
7,0.32
7,0.32
7,0.28
6,0.28
6,0.3
6,0.28
6,0.28
6,0.28
6,0.28
6,0.26
6,0.26
7,0.26
6,0.26
6,0.26
7,0.26
7,0.26
7,0.26
7,0.26
9,0.26
8,0.26
8,0.26
8,0.26
9,0.26
8,0.26
8,0.26
8,0.26
7,0.26
6,0.34
6,0.34
6,0.3
6,0.3
7,0.26
7,0.26
7,0.26
8,0.26
9,0.26
9,0.26
8,0.26
8,0.26
9,0.26
9,0.26
9,0.26
10,0.26
10,0.26
10,0.26
10,0.26
10,0.26
9,0.26
9,0.26
9,0.26
9,0.26
9,0.26
9,0.26
9,0.26
9,0.26
10,0.16
10,0.16
10,0.16
8,0.26
7,0.26
7,0.26
7,0.26
7,0.26
7,0.26
7,0.26
8,0.26
8,0.26
7,0.26
7,0.26
7,0.26
7,0.26
8,0.26
8,0.26
8,0.26
8,0.26
7,0.26
8,0.26
8,0.28
8,0.3
8,0.3
7,0.3
8,0.3
8,0.3
8,0.3
8,0.32
8,0.32
8,0.32
8,0.32
7,0.32
7,0.32
8,0.32
8,0.32
8,0.32
8,0.32
9,0.32
9,0.22
9,0.22
9,0.22
9,0.22
9,0.22
8,0.22
9,0.22
9,0.22
9,0.22
9,0.22
9,0.22
9,0.22
9,0.22
8,0.32
8,0.32
7,0.32
7,0.32
7,0.32
7,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
5,0.32
5,0.32
5,0.32
5,0.32
5,0.32
5,0.32
5,0.32
5,0.32
5,0.32
5,0.32
5,0.32
5,0.32
5,0.32
4,0.58
4,0.58
5,0.3
5,0.3
5,0.3
5,0.3
6,0.28
6,0.28
6,0.28
6,0.28
6,0.28
6,0.26
6,0.26
6,0.26
6,0.24
6,0.26
6,0.26
6,0.26
6,0.26
6,0.26
6,0.24
6,0.24
6,0.24
6,0.26
6,0.26
6,0.26
6,0.26
6,0.26
6,0.26
6,0.26
6,0.26
5,0.36
5,0.36
5,0.36
5,0.36
6,0.24
6,0.24
6,0.22
6,0.22
6,0.22
6,0.22
7,0.22
7,0.22
7,0.22
7,0.22
7,0.24
7,0.24
7,0.24
7,0.24
8,0.2
8,0.2
8,0.2
8,0.2
8,0.2
8,0.2
8,0.2
8,0.2
8,0.2
8,0.2
7,0.2
7,0.2
7,0.18
7,0.18
6,0.26
6,0.26
5,0.26
5,0.28
5,0.28
6,0.28
6,0.28
6,0.28
6,0.28
6,0.28
6,0.28
6,0.28
7,0.28
7,0.28
7,0.28
7,0.28
6,0.28
6,0.3
6,0.3
6,0.3
6,0.3
7,0.3
7,0.3
8,0.24
8,0.24
8,0.24
8,0.24
7,0.24
6,0.34
6,0.36
6,0.36
7,0.28
8,0.22
8,0.22
8,0.22
8,0.22
8,0.22
8,0.22
8,0.22
7,0.28
7,0.28
6,0.28
6,0.28
6,0.28
6,0.28
6,0.28
6,0.28
6,0.3
6,0.3
6,0.3
6,0.3
6,0.3
6,0.3
6,0.3
7,0.24
8,0.2
6,0.3
6,0.3
6,0.3
6,0.3
6,0.3
6,0.3
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.32
6,0.34
7,0.34
8,0.34
9,0.3
9,0.3
9,0.3
9,0.3
9,0.3
9,0.3
9,0.3
9,0.32
9,0.32
9,0.32
9,0.32
9,0.32
8,0.36
8,0.36
8,0.36
8,0.36
9,0.28
8,0.36
8,0.36
7,0.36
7,0.36
7,0.36
7,0.36
7,0.36
7,0.36
7,0.36
7,0.36
8,0.32
8,0.32
8,0.32
8,0.32
8,0.32
8,0.32
8,0.32
8,0.32
8,0.32
8,0.32
7,0.32
7,0.32
7,0.32
6,0.32
6,0.3
6,0.3
6,0.3
6,0.3
6,0.3
6,0.3
7,0.3
7,0.3
7,0.3
7,0.3
7,0.3
7,0.3
7,0.3
6,0.36
6,0.36
6,0.36
6,0.36
6,0.36
6,0.36
6,0.36
6,0.34
6,0.34
6,0.32
7,0.32
7,0.32
8,0.24
8,0.24
8,0.24
7,0.24
7,0.24
7,0.24
7,0.24
7,0.24
7,0.24
7,0.24
7,0.24
7,0.24
7,0.26
7,0.26
8,0.26
8,0.26
8,0.26
8,0.26
8,0.26
8,0.26
8,0.26
8,0.26
8,0.28
8,0.28
8,0.28
9,0.24
9,0.24
9,0.24
8,0.24
8,0.24
8,0.24
8,0.24
8,0.24
8,0.24
8,0.24
8,0.24
8,0.24
8,0.24
8,0.24
8,0.24
8,0.24
7,0.28
7,0.26
7,0.26
7,0.26
7,0.26
8,0.26
8,0.26
8,0.26
8,0.26
8,0.26
9,0.26
9,0.26
8,0.26
8,0.26
8,0.26
8,0.26
8,0.26
8,0.26
8,0.26
8,0.26
8,0.26
8,0.26
7,0.26
7,0.26
7,0.26
